epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4455.93,1.28905,0.61991,1.28997,0.9363,0.93667,0.96026,0.63869,1.20073,0.5413,1.34193,0.0091882,0.0091882,0.0091882
43,4560.87,1.25795,0.61175,1.27759,0.9365,0.94686,0.96527,0.64695,1.19525,0.52144,1.33846,0.0091684,0.0091684,0.0091684
44,4665.11,1.26058,0.59954,1.2713,0.94258,0.93341,0.94983,0.62918,1.22777,0.53413,1.35397,0.0091486,0.0091486,0.0091486
45,4769.32,1.25172,0.59401,1.26358,0.9422,0.94248,0.9612,0.64522,1.18858,0.52107,1.33123,0.0091288,0.0091288,0.0091288
46,4874.52,1.25452,0.59273,1.27079,0.93875,0.94106,0.96008,0.66226,1.16216,0.5322,1.31879,0.009109,0.009109,0.009109
47,4977.47,1.23837,0.57924,1.25462,0.9364,0.94241,0.96721,0.64887,1.1921,0.5185,1.30286,0.0090892,0.0090892,0.0090892
48,5081.07,1.24171,0.5862,1.26347,0.94228,0.94633,0.95889,0.66055,1.16839,0.50545,1.31234,0.0090694,0.0090694,0.0090694
49,5184.31,1.223,0.57216,1.24362,0.95081,0.94449,0.95815,0.65458,1.17186,0.50477,1.30447,0.0090496,0.0090496,0.0090496
50,5290.76,1.21748,0.57328,1.25042,0.94431,0.94566,0.96387,0.66433,1.14766,0.50835,1.30146,0.0090298,0.0090298,0.0090298
51,5396.43,1.23696,0.56718,1.2538,0.94407,0.94176,0.96545,0.66884,1.1439,0.50821,1.30226,0.00901,0.00901,0.00901
52,5501.07,1.20475,0.56103,1.24079,0.95177,0.94737,0.95738,0.66313,1.1359,0.49617,1.29515,0.0089902,0.0089902,0.0089902
53,5605.19,1.19035,0.55669,1.23507,0.94804,0.94606,0.9547,0.66004,1.16255,0.51651,1.29565,0.0089704,0.0089704,0.0089704
54,5708.49,1.19316,0.5672,1.24065,0.944,0.958,0.96548,0.67075,1.14669,0.493,1.29701,0.0089506,0.0089506,0.0089506
55,5811.64,1.18913,0.55459,1.23579,0.94848,0.95337,0.96024,0.66505,1.17615,0.50567,1.31534,0.0089308,0.0089308,0.0089308
56,5914.1,1.19994,0.57018,1.22728,0.94814,0.9524,0.96371,0.67511,1.12654,0.48069,1.26562,0.008911,0.008911,0.008911
57,6017.14,1.1987,0.56044,1.23033,0.9413,0.95615,0.96091,0.67325,1.13791,0.49683,1.28024,0.0088912,0.0088912,0.0088912
58,6120.69,1.18486,0.55302,1.23098,0.94886,0.94922,0.95827,0.66713,1.14435,0.49565,1.28823,0.0088714,0.0088714,0.0088714
59,6224.68,1.18668,0.55186,1.22102,0.9504,0.954,0.97483,0.67683,1.13414,0.48558,1.26835,0.0088516,0.0088516,0.0088516
60,6330.22,1.16622,0.53781,1.20815,0.95269,0.95223,0.96846,0.67396,1.13487,0.48488,1.27935,0.0088318,0.0088318,0.0088318
61,6433.73,1.17448,0.53948,1.2102,0.95246,0.95198,0.9701,0.67794,1.14427,0.478,1.27798,0.008812,0.008812,0.008812
62,6536.57,1.18558,0.54431,1.21393,0.95463,0.95462,0.96897,0.68469,1.12195,0.47723,1.26519,0.0087922,0.0087922,0.0087922
63,6641.6,1.17313,0.54353,1.20606,0.9518,0.95323,0.95842,0.67771,1.12155,0.48845,1.25675,0.0087724,0.0087724,0.0087724
64,6745.58,1.14889,0.5464,1.21035,0.95011,0.94849,0.96579,0.6853,1.12135,0.47715,1.26926,0.0087526,0.0087526,0.0087526
65,6851.48,1.14252,0.52934,1.1978,0.95168,0.95743,0.96954,0.68983,1.12659,0.47207,1.2746,0.0087328,0.0087328,0.0087328
